date,price
2005- 07- 08,"1,050.50"
2005- 07- 11,"1,040.00"
2005- 07- 12,"1,035.50"
2005- 07- 13,"1,036.50"
2005- 07- 14,"1,034.50"
2005- 07- 15,"1,038.50"
2005- 07- 18,"1,033.50"
2005- 07- 19,"1,044.50"
2005- 07- 20,"1,044.50"
2005- 07- 21,"1,035.50"
2005- 07- 22,"1,022.50"
2005- 07- 25,"1,013.70"
2005- 07- 26,"1,025.50"
2005- 07- 27,"1,031.10"
2005- 07- 28,"1,027.85"
2005- 07- 29,"1,023.30"
2005- 08- 01,"1,025.50"
2005- 08- 02,"1,019.50"
2005- 08- 03,"1,015.50"
2005- 08- 04,"1,011.50"
2005- 08- 05,"1,016.50"
2005- 08- 08,"1,017.50"
2005- 08- 09,"1,014.50"
2005- 08- 10,"1,012.50"
2005- 08- 11,"1,011.25"
2005- 08- 12,"1,014.50"
2005- 08- 15,"1,015.50"
2005- 08- 16,"1,018.50"
2005- 08- 17,"1,018.05"
2005- 08- 18,"1,018.50"
2005- 08- 19,"1,022.50"
2005- 08- 22,"1,024.50"
2005- 08- 23,"1,028.50"
2005- 08- 24,"1,027.50"
2005- 08- 25,"1,024.30"
2005- 08- 26,"1,028.80"
2005- 08- 29,"1,030.50"
2005- 08- 30,"1,034.20"
2005- 08- 31,"1,038.50"
2005- 09- 01,"1,029.50"
2005- 09- 02,"1,026.50"
2005- 09- 05,"1,022.70"
2005- 09- 06,"1,025.00"
2005- 09- 07,"1,026.30"
2005- 09- 08,"1,027.50"
2005- 09- 09,"1,025.50"
2005- 09- 12,"1,026.50"
2005- 09- 13,"1,025.75"
2005- 09- 14,"1,025.50"
2005- 09- 15,"1,025.50"
2005- 09- 16,"1,030.50"
2005- 09- 19,"1,028.50"
2005- 09- 20,"1,031.50"
2005- 09- 21,"1,028.50"
2005- 09- 22,"1,027.65"
2005- 09- 23,"1,030.50"
2005- 09- 26,"1,034.50"
2005- 09- 27,"1,038.50"
2005- 09- 28,"1,039.50"
2005- 09- 29,"1,039.50"
2005- 09- 30,"1,043.50"
2005- 10- 03,"1,047.50"
2005- 10- 04,"1,043.50"
2005- 10- 05,"1,039.50"
2005- 10- 06,"1,039.50"
2005- 10- 07,"1,037.50"
2005- 10- 10,"1,037.85"
2005- 10- 11,"1,044.50"
2005- 10- 12,"1,043.50"
2005- 10- 13,"1,049.50"
2005- 10- 14,"1,044.50"
2005- 10- 17,"1,048.50"
2005- 10- 18,"1,053.50"
2005- 10- 19,"1,053.50"
2005- 10- 20,"1,054.50"
2005- 10- 21,"1,060.50"
2005- 10- 24,"1,055.15"
2005- 10- 25,"1,048.50"
2005- 10- 26,"1,045.50"
2005- 10- 27,"1,041.15"
2005- 10- 28,"1,041.35"
2005- 10- 31,"1,043.40"
2005- 11- 01,"1,041.50"
2005- 11- 02,"1,041.50"
2005- 11- 03,"1,046.00"
2005- 11- 04,"1,050.50"
2005- 11- 07,"1,047.50"
2005- 11- 08,"1,046.00"
